SNo,ObservationDate,Province/State,Country/Region,Confirmed,Deaths,Recovered,Time,latitude,longitude
67,"Mar 28, 2020",Taiwan,Taiwan,1,0,0,05:00 PM,43.6661,126.1923
68,"Mar 29, 2020",Tianjin,Mainland China,4,0,0,05:00 PM,41.2956,122.6085
69,"Mar 30, 2020",Tibet,Mainland China,0,0,0,05:00 PM,22.1667,113.55
70,"Mar 31, 2020",Washington,US,1,0,0,05:00 PM,37.2692,106.1655
71,"Apr 01, 2020",Xinjiang,Mainland China,2,0,0,05:00 PM,35.7452,95.9956
72,"Apr 02, 2020",Yunnan,Mainland China,2,0,0,05:00 PM,35.1917,108.8701
73,"Apr 03, 2020",Zhejiang,Mainland China,27,0,0,05:00 PM,36.3427,118.1498
74,"Apr 04, 2020",,Japan,1,0,0,05:00 PM,31.202,121.4491
75,"Apr 05, 2020",,Thailand,3,0,0,05:00 PM,37.5777,112.2922
76,"Apr 06, 2020",,South Korea,1,0,0,05:00 PM,30.6171,102.7103
77,"Apr 07, 2020",,Singapore,1,0,0,05:00 PM,39.3054,117.323
78,"Apr 08, 2020",,Philippines,0,0,0,05:00 PM,31.6927,88.0924
79,"Apr 09, 2020",,Malaysia,0,0,0,05:00 PM,41.1129,85.2401
80,"Apr 10, 2020",,Vietnam,2,0,0,05:00 PM,24.974,101.487
81,"Apr 11, 2020",,Australia,0,0,0,05:00 PM,29.1832,120.0934
82,"Apr 12, 2020",,Mexico,0,0,0,05:00 PM,4.5709,-74.2973
83,"Apr 13, 2020",,Brazil,0,0,0,05:00 PM,-4.0383,21.7587
84,"Apr 14, 2020",,Colombia,0,0,0,05:00 PM,-4.0383,21.7587
85,"Apr 15, 2020",Hubei,Mainland China,549,24,31,05:00 PM,9.7489,-83.7534
86,"Apr 16, 2020",Guangdong,Mainland China,53,0,2,05:00 PM,7.54,-5.5471
87,"Apr 17, 2020",Zhejiang,Mainland China,43,0,1,05:00 PM,45.1,15.2
88,"Apr 18, 2020",Beijing,Mainland China,36,0,1,05:00 PM,22,-80
89,"Apr 19, 2020",Chongqing,Mainland China,27,0,0,05:00 PM,35.1264,33.4299
90,"Apr 20, 2020",Hunan,Mainland China,24,0,0,05:00 PM,49.8175,15.473
91,"Apr 21, 2020",Guangxi,Mainland China,23,0,0,05:00 PM,61.8926,-6.9118
92,"Apr 22, 2020",Shanghai,Mainland China,20,0,1,05:00 PM,71.7069,-42.6043
93,"Apr 23, 2020",Jiangxi,Mainland China,18,0,0,05:00 PM,56.2639,9.5018
94,"Apr 24, 2020",Sichuan,Mainland China,15,0,0,05:00 PM,11.8251,42.5903
95,"Apr 25, 2020",Shandong,Mainland China,15,0,0,05:00 PM,18.7357,-70.1627
96,"Apr 26, 2020",Anhui,Mainland China,15,0,0,05:00 PM,-1.8312,-78.1834
97,"Apr 27, 2020",Fujian,Mainland China,10,0,0,05:00 PM,26,30
98,"Apr 28, 2020",Henan,Mainland China,9,0,0,05:00 PM,13.7942,-88.8965
99,"Apr 29, 2020",Jiangsu,Mainland China,9,0,0,05:00 PM,1.5,10
100,"Apr 30, 2020",Hainan,Mainland China,8,0,0,05:00 PM,15.1794,39.7823
101,"May 01, 2020",Tianjin,Mainland China,8,0,0,05:00 PM,58.5953,25.0136
102,"May 02, 2020",Yunnan,Mainland China,5,0,0,05:00 PM,-26.5225,31.4659
103,"May 03, 2020",Shaanxi,Mainland China,5,0,0,05:00 PM,9.145,40.4897
104,"May 04, 2020",Heilongjiang,Mainland China,4,1,0,05:00 PM,-17.7134,178.065
105,"May 05, 2020",Liaoning,Mainland China,4,0,0,05:00 PM,64,26
106,"May 06, 2020",Guizhou,Mainland China,3,0,0,05:00 PM,3.9339,-53.1258
107,"May 07, 2020",Jilin,Mainland China,3,0,0,05:00 PM,-17.6797,149.4068
108,"May 08, 2020",Taiwan,Taiwan,3,0,0,05:00 PM,16.25,-61.5833
109,"May 09, 2020",Ningxia,Mainland China,2,0,0,05:00 PM,-12.8275,45.1662
110,"May 10, 2020",Hong Kong,Hong Kong,2,0,0,05:00 PM,-20.9043,165.618
111,"May 11, 2020",Macau,Macau,2,0,0,05:00 PM,-21.1351,55.2471
112,"May 12, 2020",Hebei,Mainland China,2,1,0,05:00 PM,17.9,-62.8333
113,"May 13, 2020",Gansu,Mainland China,2,0,0,05:00 PM,18.0708,-63.0501
114,"May 14, 2020",Xinjiang,Mainland China,2,0,0,05:00 PM,14.6415,-61.0242
115,"May 15, 2020",Shanxi,Mainland China,1,0,0,05:00 PM,46.2276,2.2137
116,"May 16, 2020",Inner Mongolia,Mainland China,1,0,0,05:00 PM,-0.8037,11.6094
117,"May 17, 2020",Qinghai,Mainland China,0,0,0,05:00 PM,13.4432,-15.3101
118,"May 18, 2020",Washington,US,1,0,0,05:00 PM,42.3154,43.3569
119,"May 19, 2020",Chicago,US,1,0,0,05:00 PM,51,9
120,"May 20, 2020",,Japan,2,0,0,05:00 PM,7.9465,-1.0232
121,"May 21, 2020",,Thailand,5,0,0,05:00 PM,39.0742,21.8243
122,"May 22, 2020",,South Korea,2,0,0,05:00 PM,15.7835,-90.2308
123,"May 23, 2020",,Singapore,3,0,0,05:00 PM,9.9456,-9.6966
124,"May 24, 2020",,Vietnam,2,0,0,05:00 PM,5,-58.75
125,"May 25, 2020",,France,2,0,0,05:00 PM,18.9712,-72.2852
126,"May 26, 2020",Hubei,Mainland China,761,40,32,05:00 PM,41.9029,12.4534
127,"May 27, 2020",Guangdong,Mainland China,78,0,2,05:00 PM,15.2,-86.2419
128,"May 28, 2020",Zhejiang,Mainland China,62,0,1,05:00 PM,47.1625,19.5033
129,"May 29, 2020",Chongqing,Mainland China,57,0,0,05:00 PM,64.9631,-19.0208
130,"May 30, 2020",Hunan,Mainland China,43,0,0,05:00 PM,21,78
131,"May 31, 2020",Beijing,Mainland China,41,0,2,05:00 PM,-0.7893,113.9213
132,"Jun 01, 2020",Anhui,Mainland China,39,0,0,05:00 PM,32,53
133,"Jun 02, 2020",Shanghai,Mainland China,33,0,1,05:00 PM,33,44
134,"Jun 03, 2020",Henan,Mainland China,32,0,0,05:00 PM,53.1424,-7.6921
135,"Jun 04, 2020",Sichuan,Mainland China,28,0,0,05:00 PM,31,35
136,"Jun 05, 2020",Shandong,Mainland China,27,0,0,05:00 PM,43,12
137,"Jun 06, 2020",Guangxi,Mainland China,23,0,0,05:00 PM,18.1096,-77.2975
138,"Jun 07, 2020",Hainan,Mainland China,19,0,0,05:00 PM,36,138
139,"Jun 08, 2020",Jiangxi,Mainland China,18,0,0,05:00 PM,31.24,36.51
140,"Jun 09, 2020",Fujian,Mainland China,18,0,0,05:00 PM,48.0196,66.9237
141,"Jun 10, 2020",Jiangsu,Mainland China,18,0,1,05:00 PM,-0.0236,37.9062
142,"Jun 11, 2020",Liaoning,Mainland China,17,0,0,05:00 PM,36,128
143,"Jun 12, 2020",Shaanxi,Mainland China,15,0,0,05:00 PM,29.5,47.75
144,"Jun 13, 2020",Yunnan,Mainland China,11,0,0,05:00 PM,41.2044,74.7661
145,"Jun 14, 2020",Tianjin,Mainland China,10,0,0,05:00 PM,56.8796,24.6032
146,"Jun 15, 2020",Heilongjiang,Mainland China,9,1,0,05:00 PM,33.8547,35.8623
